	1, 3, 15		22		Passed


	41, 4, 1337		42		Passed


	666, 13, 823172		1337		Passed


	666, 222, 444		0		Passed


	1, 2, 1000000		1999999		Passed


	1000, 1000, 1000000		1001		Passed


	2, 11, 20		10		Passed


	2, 10, 20		11		Passed


	123, 456, 78910		642		Passed


	999, 5, 999999		1251		Passed


	685, 755, 621373		908		Passed


	712, 156, 712174		1006		Passed


	868, 271, 8159		9		Passed


	404, 189, 676622		1682		Passed


	741, 332, 132952		179		Passed


	577, 468, 198525		344		Passed


	600, 80, 944364		1592		Passed


	688, 484, 133422		193		Passed


	551, 952, 676707		1229		Passed


	744, 485, 734324		988		Passed


	213, 476, 454554		2138		Passed


	419, 447, 207698		496		Passed


	744, 64, 979058		1335		Passed


	569, 516, 891727		1570		Passed


	496, 221, 985996		1996		Passed


	77, 633, 553101		7194		Passed


	990, 187, 500321		507		Passed


	604, 979, 77087		127		Passed


	223, 455, 714141		3209		Passed


	228, 213, 709601		3126		Passed


	458, 684, 721301		1576		Passed


	809, 719, 915143		1132		Passed


	613, 734, 178638		291		Passed


	624, 874, 921185		1477		Passed


	88, 75, 934616		10763		Passed


	971, 697, 68097		70		Passed


	789, 539, 396449		502		Passed


	924, 522, 842907		913		Passed


	711, 68, 611475		872		Passed


	984, 137, 490482		501		Passed


	60, 463, 781983		13061		Passed


	596, 645, 872531		1465		Passed


	555, 367, 614805		1110		Passed


	953, 388, 692496		727		Passed


	519, 194, 345759		669		Passed


	397, 184, 179109		453		Passed


	142, 675, 461579		3254		Passed


	539, 472, 713431		1325		Passed


	557, 726, 265029		475		Passed


	998, 207, 338455		340		Passed


	843, 134, 627350		749		Passed


	974, 357, 380604		391		Passed


	642, 350, 567893		886		Passed


	336, 34, 780967		2394		Passed


	477, 689, 388631		815		Passed


	646, 730, 514749		797		Passed


	509, 894, 115573		227		Passed


	351, 870, 857357		2444		Passed


	594, 428, 933872		1575		Passed


	107, 527, 31284		292		Passed


	826, 773, 371836		450		Passed


	879, 416, 198440		225		Passed


	580, 684, 764170		1318		Passed


	494, 982, 320534		648		Passed


	506, 19, 280727		584		Passed


	945, 241, 623034		661		Passed


	504, 75, 671690		1349		Passed


	529, 934, 6957		13		Passed


	501, 430, 5738		11		Passed


	501, 968, 928190		1853		Passed


	710, 168, 714465		1012		Passed


	7, 391, 811625		116243		Passed


	521, 834, 422547		811		Passed


	288, 426, 309281		1075		Passed


	285, 666, 21477		75		Passed


	247, 173, 722888		2943		Passed


	742, 182, 569082		770		Passed


	875, 598, 114427		130		Passed


	414, 81, 938814		2295		Passed


	329, 73, 452262		1393		Passed


	553, 98, 455319		831		Passed


	482, 180, 317325		661		Passed


	567, 728, 682846		1205		Passed


	109, 435, 473846		4357		Passed


	78, 667, 450560		5784		Passed


	749, 785, 225043		300		Passed


	601, 532, 111897		186		Passed


	592, 944, 376593		636		Passed


	272, 654, 762012		2805		Passed


	253, 889, 816233		3229		Passed


	174, 352, 646839		3727		Passed


	873, 773, 392035		449		Passed


	194, 386, 678251		3505		Passed


	972, 457, 455190		469		Passed


	215, 651, 56824		264		Passed


	577, 151, 529657		923		Passed


	357, 895, 911979		2556		Passed


	344, 807, 214749		624		Passed


	20, 640, 27172		1360		Passed


	356, 892, 74970		210		Passed


	1, 4, 10		13		Passed


	1, 3, 8		11		Passed


