	2		6		Passed


	3		15		Passed


	100		21620		Passed


	22306		68467		Passed


	1		1		Passed


	1000000		222454881		Passed


	1000000000		926728539		Passed


	987654321		60968614		Passed


	346100		830705971		Passed


	671985798		722374399		Passed


	10		222		Passed


	34484254		658621951		Passed


	16544		550602880		Passed


	60		7816		Passed


	5309		56985433		Passed


	87294		275737825		Passed


	8498		145666004		Passed


	78132		239235276		Passed


	1934		7619194		Passed


	4		32		Passed


	3350685		372937314		Passed


	59666967		718887343		Passed


	18788220		715415041		Passed


	168837348		825073895		Passed


	8853		158054421		Passed


	769		1219753		Passed


	6600		87965524		Passed


	458		436242		Passed


	880790354		756891106		Passed


	94		19090		Passed


	980		1971964		Passed


	478		474418		Passed


	1322		3577236		Passed


	184943		512394309		Passed


	42		3912		Passed


	7		97		Passed


	169508		558010513		Passed


	359208134		188843463		Passed


	42969		705305216		Passed


	922009774		208808517		Passed


	594949		502242073		Passed


	397		328897		Passed


	80		13852		Passed


	76545		747319732		Passed


	6		72		Passed


	73307611		4298432		Passed


	6		72		Passed


	79059676		257992379		Passed


	85		15733		Passed


	4848620		624573242		Passed


	9		181		Passed


	84		15388		Passed


	78931		490607477		Passed


	549619		673315723		Passed


	415087976		377581203		Passed


	952165868		650976939		Passed


	12140		296785156		Passed


	802109324		28988158		Passed


	602		750196		Passed


	18		724		Passed


	99935931		483770710		Passed


	118888		323731532		Passed


	18114		659894048		Passed


	3		15		Passed


	36		2924		Passed


	2518048		865735801		Passed


	3330		22492262		Passed


	79974		822751924		Passed


	9830		194767178		Passed


	5		49		Passed


	5		49		Passed


	2347312		17494872		Passed


	5737999		141270100		Passed


	893041873		286507270		Passed


	439928879		788810451		Passed


	982		1979914		Passed


	386350		837598960		Passed


	5264246		558282306		Passed


	3845		29955409		Passed


	138752129		994885749		Passed


	1516		4695484		Passed


	3150		20139332		Passed


	940		1815344		Passed


	5		49		Passed


	27		1631		Passed


	304020		72191901		Passed


	49578005		965251237		Passed


	308624		717921134		Passed


	16350		537744214		Passed


	72		11320		Passed


	5		49		Passed


	68546241		745488555		Passed


	9059605		980403924		Passed


	8		136		Passed


	5373		58365577		Passed


	6495		85182505		Passed


	734		1112858		Passed


	55098572		12568410		Passed


	76424		710255375		Passed


	629		819025		Passed


	354544346		420450317		Passed


	3730		28197914		Passed


	6		72		Passed


	10		222		Passed


	62		8314		Passed


	6803916		949288870		Passed


	67405		111119730		Passed


	402957740		397431299		Passed


	999999998		259993157		Passed


	12345678		661323466		Passed


