	20, 31, {3, 7, 14, 5, 9, 5, 9, 14, 6, 10, 14, 8, 13, 3, 13, 15, 15, 14, 10, 7, 13, 11, 12, 10, 4, 10, 7, 14, 8, 5, 12, 11, 9, 11, 13, 9, 3, 12, 10, 8, 13, 5, 12, 4, 12, 11, 11, 6, 12, 9}, 3		"IMPOSSIBLE"		Passed
	5, 2, {4, 4, 4, 4, 4}, 4		"POSSIBLE"		Passed
	3, 3, {3, 4, 4, 5, 5, 6}, 2		"POSSIBLE"		Passed


	3, 3, {3, 4, 4, 5, 6, 6}, 2		"IMPOSSIBLE"		Passed




	25, 25, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, 2		"POSSIBLE"		Passed


	15, 15, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, 2		"POSSIBLE"		Passed


	3, 1, {3, 3, 2, 3, 2, 3}, 2		"POSSIBLE"		Passed


	5, 5, {5, 5, 5, 5, 5, 5, 2, 3, 4, 4, 6, 7, 3, 2}, 2		"POSSIBLE"		Passed


	5, 7, {6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 8, 9, 10}, 5		"POSSIBLE"		Passed


	1, 1, {5, 3, 4}, 2		"IMPOSSIBLE"		Passed


	24, 3, {16, 12, 15, 18, 14, 15, 12, 19, 13, 11, 10, 17, 19, 13, 17, 18, 88, 66, 63, 11, 19, 48, 20, 12, 74, 63, 19, 37, 20, 84, 17, 33, 17, 56, 11, 61, 17, 13, 14, 18, 44, 17, 76, 22, 26, 21}, 10		"POSSIBLE"		Passed


	7, 33, {21, 4, 22, 8, 7, 2, 11, 20, 14, 5, 4, 2, 4, 22, 4, 16, 22, 15, 6, 13, 4, 8, 5, 15, 5, 17, 8, 7, 16, 10, 5, 3, 12, 2, 5, 19, 6, 13, 18, 9, 19}, 2		"POSSIBLE"		Passed


	18, 13, {44, 26, 13, 17, 14, 17, 14, 23, 14, 80, 17, 15, 19, 23, 18, 58, 15, 22, 53, 19, 17, 31, 25, 21, 14, 54, 16, 15, 20, 18, 51, 28, 72, 22, 16, 17, 24, 15, 15, 16, 94, 15, 70}, 13		"POSSIBLE"		Passed


	35, 10, {19, 21, 13, 23, 17, 25, 22, 29, 14, 18, 29, 19, 20, 14, 25, 19, 27, 14, 21, 28, 15, 25, 17, 26, 25, 13, 20, 29, 13, 20, 16, 22, 20, 24, 16, 24, 13, 19, 24, 24, 14, 18, 16, 22, 21}, 13		"POSSIBLE"		Passed


	11, 2, {2, 2, 60, 2, 5, 5, 2, 14, 89, 4, 11, 49, 83, 31, 61, 21, 62, 5, 3, 2, 6, 18, 2, 47, 5}, 2		"POSSIBLE"		Passed


