	{3, 6, 27, 0, 6}		{}		Passed
{19, 12, 15, 11, 14}		{20533, 87119, 44987}		Passed


	{22, 19, 3, 8, 23}		{}		Passed


	{13, 17, 0, 25, 20}		{27011, 99083, 99089}		Passed


	{11, 12, 13, 14, 15}		{47221, 23789, 94421}		Passed


	{14, 27, 6, 12, 15}		{}		Passed


	{17, 26, 26, 26, 5}		{}		Passed


	{14, 15, 14, 15, 3}		{}		Passed


	{14, 11, 15, 12, 19}		{}		Passed




	{9, 21, 27, 0, 3}		{}		Passed


	{27, 3, 3, 27, 27}		{}		Passed


	{27, 6, 27, 3, 27}		{}		Passed


	{9, 0, 4, 0, 5}		{}		Passed


	{23, 2, 0, 24, 27}		{}		Passed


	{27, 0, 1, 23, 7}		{}		Passed


	{25, 1, 27, 27, 24}		{}		Passed


	{3, 25, 1, 2, 27}		{}		Passed


	{0, 0, 0, 0, 0}		{}		Passed


	{27, 27, 27, 27, 27}		{}		Passed


	{13, 13, 13, 13, 13}		{10007, 35543, 98893}		Passed


	{14, 14, 14, 14, 14}		{}		Passed


	{15, 15, 15, 15, 15}		{10007, 56687, 99971}		Passed


	{16, 16, 16, 16, 16}		{}		Passed


	{17, 17, 17, 17, 17}		{10007, 78889, 99991}		Passed


	{23, 3, 0, 0, 3}		{10007, 10009, 10037}		Passed


	{11, 24, 27, 27, 27}		{99971, 99989, 99991}		Passed


	{15, 10, 0, 9, 15}		{10007, 51061, 98047}		Passed


	{17, 19, 24, 21, 12}		{13619, 49991, 79997}		Passed


	{19, 12, 3, 0, 27}		{90001, 90059, 90379}		Passed


	{19, 16, 21, 27, 9}		{19301, 19979, 79999}		Passed


	{19, 11, 15, 18, 3}		{10009, 19753, 19867}		Passed


	{13, 10, 15, 6, 15}		{10007, 51683, 95923}		Passed


	{27, 25, 18, 18, 19}		{10399, 99689, 99989}		Passed


	{19, 18, 18, 25, 27}		{97039, 99971, 99989}		Passed


	{3, 12, 2, 3, 23}		{50021, 91081, 92221}		Passed


	{23, 3, 2, 12, 3}		{10007, 13009, 19237}		Passed


	{3, 19, 26, 5, 23}		{50891, 90931, 95971}		Passed


	{23, 5, 26, 19, 3}		{11827, 19919, 19927}		Passed


	{3, 2, 26, 5, 25}		{70901, 92821, 93901}		Passed


	{25, 5, 26, 2, 3}		{10847, 10909, 12919}		Passed


	{3, 8, 23, 2, 27}		{90511, 90931, 92941}		Passed


	{27, 2, 23, 8, 3}		{10529, 11909, 17909}		Passed


	{14, 19, 12, 15, 11}		{}		Passed


	{16, 17, 13, 15, 15}		{}		Passed


	{14, 15, 13, 16, 14}		{}		Passed


	{27, 23, 25, 9, 19}		{10789, 91969, 98999}		Passed


	{19, 11, 26, 9, 5}		{10831, 10909, 39989}		Passed


	{17, 9, 9, 5, 7}		{10007, 10067, 55933}		Passed


	{15, 15, 14, 17, 2}		{}		Passed


	{9, 19, 12, 22, 27}		{94057, 99371, 99971}		Passed


	{13, 12, 7, 3, 22}		{40009, 90271, 93553}		Passed


	{23, 14, 19, 27, 8}		{19139, 19927, 69997}		Passed


	{13, 20, 3, 7, 18}		{10037, 82393, 95083}		Passed


	{25, 26, 9, 6, 0}		{}		Passed


	{27, 6, 3, 17, 15}		{10009, 58229, 99149}		Passed


	{9, 17, 17, 20, 11}		{12007, 19991, 99881}		Passed


	{21, 4, 16, 22, 22}		{44029, 99709, 99923}		Passed


	{3, 18, 15, 6, 15}		{10061, 50891, 96731}		Passed


	{23, 12, 8, 23, 26}		{85027, 99149, 99767}		Passed


	{13, 25, 18, 23, 8}		{15073, 19993, 69997}		Passed


	{11, 23, 3, 26, 17}		{18061, 79397, 99083}		Passed


	{13, 8, 20, 19, 19}		{11311, 99859, 99923}		Passed


	{7, 13, 25, 18, 7}		{10711, 29983, 49943}		Passed


	{25, 9, 19, 9, 14}		{10139, 41947, 98929}		Passed


	{3, 4, 19, 23, 20}		{25321, 99721, 99901}		Passed


	{7, 8, 4, 2, 18}		{10061, 82223, 90203}		Passed


	{7, 2, 3, 20, 16}		{12011, 79103, 89213}		Passed


	{7, 21, 2, 23, 25}		{75083, 99083, 99251}		Passed


	{21, 12, 26, 23, 27}		{95923, 99829, 99989}		Passed


	{9, 1, 27, 3, 17}		{12907, 80911, 81901}		Passed


	{17, 13, 11, 5, 20}		{20011, 90247, 95989}		Passed


	{15, 12, 19, 10, 11}		{10103, 12979, 98953}		Passed


	{7, 17, 6, 26, 7}		{18013, 19183, 59581}		Passed


	{9, 1, 6, 10, 22}		{40013, 93503, 97103}		Passed


	{11, 7, 19, 11, 15}		{10103, 53951, 98927}		Passed


	{9, 27, 4, 17, 18}		{10091, 88397, 99191}		Passed


	{17, 3, 16, 11, 0}		{}		Passed


	{9, 4, 0, 23, 6}		{15017, 19001, 49031}		Passed


	{21, 7, 1, 14, 15}		{10007, 56167, 98017}		Passed


	{11, 11, 11, 13, 15}		{10007, 54421, 99793}		Passed


	{21, 7, 27, 22, 27}		{95923, 98939, 99929}		Passed


	{11, 18, 25, 20, 17}		{12703, 79997, 99991}		Passed


